,Name,Publisher,Description,Total Episodes,URL
32,پادکست رادیو ماجرا,lastsecond,پادکست رادیو ماجرا روایت تجربه‌های خاص سفر جهانگردها و ایرانگردهایی است که داستان‌هایی جذاب از جسارت، ماجراجوی، کشف ناشناخته‌ها و سفر به سرزمین‌هایی است که یا تا به حال آنها را  نشنیده‌ایم یا مروری بر این روایت‌ها و داستان‌ها می‌تواند جرقه‌ای باشد برای دوباره کشف کردن و تجربه کردن. این ماجراها و تجربه‌های سفر از دل ماجراها و سفرنامه‌های لست سکند بیرون می‌آید و در هر قسمت از این پادکست پای صحبت یکی از این جهانگردها یا ایرانگردها می‌نشینیم و به ماجراها و تجربه‌هایی که از دل ماجراهای مختلف بیرون می‌آید گوش می‌کنیم.,24,https://open.spotify.com/show/4i4qahDv7qa2LHZlMJBNF7
33,پادکست داستانی ترپند /TarPand,Tarpand,روایت ماجرا و حکایت های پشت هر ضرب المثل به زبان ساده,23,https://open.spotify.com/show/6BJ3mFtARaFuOPVfv8Mq1f
34,Majoon | پادکست فارسی معجون,Masoud | Navid,یه گوشیدنی خوشمزه با طعم تاریخ. اینجا داستان های تاریخی تعریف می کنیم و سعی داریم به روایت ها، دیدگاه علمی داشته باشیم,19,https://open.spotify.com/show/6E4riM1UXfw2xlpLBEAbdM
35, پادکست فارسی رادیو هزارسرو - روانشناسی آرامش | رضا بالغی!,Reza Baleghi | رضا بالغی,صحبت هایی در مورد آرامش، نگرش، و موسیقی  **هزارسرو حامی و مروج عقلانیت، روش علمی و واقعیت هست و به شدت از توصیه‌های حساب نشده‌ی کتاب/کانال/سمینارهای خودیاری امروزی که پر از توصیه‌های آرمانی هستند اجتناب می‌کند.,47,https://open.spotify.com/show/6uMvDwf2T83uS4JjiKQNVT
36,پادکست خرقه,Mohsen Bolhasani,پادکست خرقه کاری از محسن بوالحسنی  سری اول: داستان زندگی و زمانه‌ی شمس تبریزی و مولانا به‌روایت محسن بوالحسنی (سه فصل/ پایان یافته)  سری دوم: تذکره‌المشایخ داستان زندگی و زمانه‌ی 72 پیرطریقت در تذکره‌الاولیاء به‌روایت محسن بوالحسنی تهیه‌کننده: رادیو گوشه  تمامی قسمت‌های سری اول و دوم را می‌توانید در #تلگرام، #کست‌باکس #ساندکلود #ناملیک و... یا عبارت «پادکست خرقه» را در گوگل جست‌وجو کنید  اینستاگرام رادیوگوشه: https://www.instagram.com/radiogousheh اینستاگرام خرقه: https://www.instagram.com/khergheh01   آدرس تلگرام رادیو گوشه و خرقه Http://t.me/radiogousheh Http://t.me/khergheh01,57,https://open.spotify.com/show/78Q0KRe8vvcZjuWfbv3UCR
37,پادکست فارسی فیکشن Fiction Podcast,"Amin Ardani, Marzieh Sadeqi",هر اپیزود پادکست فارسی فیکشن روایتگر اتفاقی واقعی است که در منطق ما نمیگنجد. این پادکست مناسب افراد زیر 15 سال یا بیماران قلبی نیست,18,https://open.spotify.com/show/3gOLIGwRyJ1L5yOBDnEMca
38,پادکست مدیتیشن فارسی دارما | Dharma Meditation Podcast,Ali Delshad,مراقبه یا مدیتیشن از طریق ورود به بخش نیمه خودآگاه باعث آرامش ذهن و جسم شده و برای افزایش تمرکز، آرامش درونی، تقویت ارتباط با دیگران و کاهش درد بسیار مفیده.  پادکست دارما کاملا رایگان هست و هیچ تبلیغاتی در اون پذیرفته نمیشه، ما اعتقاد داریم آموزش در جهت زندگی بهتر حق تمام مردم هست و همه به رایگان باید به اون دسترسی داشته باشند.  اسپانسر پادکست‌های دارما شما هستید که اون را با دیگران به اشتراک میگذارید. www.instagram.com/dharmapodcast  فایل های موسیقی و مدیتیشن رو میتونید از کانال تلگرام دانلود کنید : https://t.me/DharmaPodcast  پیشنهاد می‌کنیم در کنار مدیتیشن های دارما، به دارما کلینیک که یک پادکست روانشناسی و پزشکی هست گوش بدید، چرا که این دو مکمل یکدیگر هستند : https://castbox.fm/vc/3505885  پادکست انگیزشی  و ژرف اندیشی دارما موتیویشن گفتگو با افراد موفق و ژرف اندیش هست که امیدوارم لذت ببرید: https://castbox.fm/vc/3603005  پادکست مدیتیشن دارما توسط تیم دارما تولید میشه www.dharmapodcast.ir   :اینستاگرام دارما کودک www.instagram.com/dharmakidspodcast #دارما #مدیتیشن #مراقبه #دارمامدیتیشن,100,https://open.spotify.com/show/0VcAShPf0PhYeE1wxGi6v3
39,تهران پادکست,dotamim,با هم پادکست خوب گوش کنیم | پادکست هایی که در سایت تهران پادکست منتشر میشوند از طریق این فید قابل شنیدن هستند,324,https://open.spotify.com/show/3O9Qd0rulbHS1wno8CwALK
40,My Coach Way پادکست فارسی,Shila Razagh Karimi,پادکستی برای حالی بهتر My Coach Way   من دکتر شیلا رزاق‌کریمی مربی مهارت‌های زندگی، مطالب و راه کارهایی برای رشد، تعالی و توسعه فردی ارائه می‌دهم.     بر این باورم که:  یک مربی حرفه‌ای از توانایی، دانش و تجربه راهبری برخوردار است.   یک مربی حرفه‌ای هرگز رابطه‌ی مرید و مرشدی نمی‌سازد.   یک مربی حرفه‌ای به دنبال توانمند‌سازی افراد برای نقشه‌یابی و طی مسیر منحصر به فردشان است. مطالب ارائه شده در این پادکست، بر گرفته از منابع معتبر در حوزه کوچینگ و رهبری سازمانی و توسعه فردی و نگرش سیستمی و آموزه‌های برخی از اساتید در این حوزه می‌باشد.,32,https://open.spotify.com/show/1w3Ddb6UTiGQmzAt9zsrij
41,Radio Delkhon / پادکست رادیو دلخون,Radio Delkhon,رادیو دلخون، دلنوشته‌ای برای جنونِ لای روزمرگی‌های ماست. دلخون داستان و دلنوشته‌هاییست که با آدم حرف‌های جدید دارد، شعرهایی که آدم را با خود می‌برد و داستان‌ها و شخصیت‌هایی که از واقعیت سخن می‌گویند.   امیدواریم لذت ببرید و نظراتتون رو با ما به اشتراک بگذارید.  hamibash.com/radiodelkhon Channel: t.me/radio_delkhon,30,https://open.spotify.com/show/2bsoTEtklndyzXm2jbKLab
42,وقت خواب | پادکستی برای رفع بی خوابی,لویی و دوستان,وقت خواب ، یک پادکست فارسی زبانه که برای مواقع بی‌خوابی طراحی شده و با بکارگیری صحبت های کسل کننده ، موسیقی آرامش بخش و داستان ، به رفع بیخوابی کمک میکنه. به زبون ساده تر ، میشه گفت که لالایی مخصوص بزرگساله. همچنین از این پادکست میشه برای کسب آرامش قبل از خواب هم استفاده کرد.,5,https://open.spotify.com/show/5c27xgMZdXaSzAxbfclEFN
43,Radio Pen پادکست فارسی رادیو پن,Mohsen Rahmani,دکلمه های محسن رحمانی در رادیو پن,26,https://open.spotify.com/show/2NhvnMWfaO3F9xBKPhHIMF
44,پادکست قلم جادو |Magicpen Podcast,Magicpen Podcast ,داستان های جالب از پدید آورندگان دنیای هنر و سرگرمی,15,https://open.spotify.com/show/1yOEGXiZdftgt2KbmsyDz4
45,پادکست جنایی مختومه,Kamyar Haghshenas,مختومه ، داستان کارگاه غیر رسمی ، پلیس سابق ، و چالش های او در حل پرونده های مختلف.  این پادکست برای افراد زیر ۱۸ سال توصیه نمی شود.,28,https://open.spotify.com/show/5b2HT2BRPzAt7BYtMYVbY3
46,Historic Podcast|پادکست هیستاریک,laey wick,روایت اتفاقات کمتر شنیده شده تاریخی,13,https://open.spotify.com/show/38MTYq2YSzHA9ZQRr0Hm4t
47,پادکست جنون Junoonpodcast,شهاب جعفری,پادکست جنایی جنون، به وقت میانه‌ی هر ماه، داستان واقعی از یک جنایت را روایت میکند.,12,https://open.spotify.com/show/31rGdfEXF0Hes5JApDtI5M
48,پادکست تکامل,Aidin Eslami,پادکست تکامل,27,https://open.spotify.com/show/0jPOeFF5pVFoV8W9GpigVI
49,AhangSaz |پادکست آهنگساز,mahdi Aghaee,آهنگ، ساز و آهنگسازی که به انسان اندیشه بدهد...  با موسیقی با احترام برخورد کنیم...   Support this podcast: https://anchor.fm/ahangsaz/support,21,https://open.spotify.com/show/081cg9J68rGudNudM7lc3Q
50,ArteBox پادکست آرته باکس,ArteBox Project,در هر قسمت پادکست آرته باکس زندگی یکی از هنرمندان از زبان خودش روایت میشه. آرته پروژه ايست كه تاريخ شفاهي ما را از زبان فرهيختگان و هنرمندان بزرگ ايراني براي شما بازگو ميكنه. اين پروژه صرفا با اتكا به حمايت هاي مالي علاقمندان فرهنگ و هنر پيش ميرود. يادمون باشه كه تاريخ معاصر هويتي از اكنون ماست، هويتي كه در آشوب و دغدغه هاي رنگ به رنگ در حال فراموشيه.  از شما دعوت ميكنيم با پيوستن به حاميان مالي آرته، ما را در ادامه راه ياري دهيد.,100,https://open.spotify.com/show/3dv9CCU5K1MMpJzUbHSVwB
51,پادکست بارو,barou.ir,دانش برای آرامش,13,https://open.spotify.com/show/1jL2s0zDc1MDyxPkayxWz5
52,Radio Padio | پادکست خبری پادیو,RadioPadio | پادکست خبری پادیو,نمیذاریم بی‌خبر بمونین! پادکست خبری رادیو پادیو کاری از گروه رسانه ای خبرهای فوری و مهم در این پادکست میزبان صدای شما هم هستیم https://t.me/Padio_BOT,529,https://open.spotify.com/show/47ITpNV6wVBmF0Hwdrlrod
53,Prologue | پادکست پرولوگ,Mohammad Farahzadi,تاریخ و روایات حقیقی در جایی که همه چیز به شکل قصه روایت میشود,10,https://open.spotify.com/show/0vxUgRRfGxyfMY6W9FY2eK
54,پادکست آموزش زبان انگلیسی استاد عطایی,Ali akbar Ataei,پادکست آموزش زبان انگلیسی استاد عطایی جهت ارایه مشاوره آموزش زبان انگلیسی بعلاوه ارایه برنامه های رایگان آموزش گرامر، لغات و اصطلاحات انگلیسی و مسابقه های زبانی,38,https://open.spotify.com/show/03jeQR4CVXfFRxpAaHcNxK
55,Paragraph | پادکست پاراگراف,PersianBMS,در هر قسمت از پاراگراف خیلی کوتاه در مورد موضوع روز بولتن صحبت می‌شود. پاراگراف دریچه‌ای است برای ورود به موضوع روز بولتن.,40,https://open.spotify.com/show/77NpNem5yYddj3Hiy23rs4
56,Radio Offside | پادکست فوتبالی رادیو آفساید,RadioOffside | رادیو آفساید,پادکست فارسی فوتبالی (و گاهی غیر فوتبالی) رادیو آفساید  اینجا دور هم مهم‌ترین و کم‌اهمیت‌ترین خبرهای دنیای فوتبال رو موشکافی می‌کنیم,185,https://open.spotify.com/show/3OdmrnXCbyxTRZKEDutfl8
57,پادکست هُشْتَکْ | Hoshtak,MohammadSalar,پادکست هشتک رو می شنوید من، محمد سالار نعمتی هستم و توی هر اپیزود از این پادکست، یکی از دستگاه ها یا آوازهای موسیقی ایرانی رو انتخاب می‌کنم و درموردش حرف می‌زنم؛ پادکست هشتک سعی می‌کنه ردیف موسیقی ایرانی رو به روش انتقال تجربه شنیداری،به شکلی کاملاً غیرآکادمیک اما ساده آموزش بده,8,https://open.spotify.com/show/4Fhy3dfYAlkB5NthRyzLct
58,پادکست فارسی کاریز / Kariz,Hessam Zahedi,"پادکست فارسی کاریز. هر اپیزود در مورد یک کتاب و داستان هست, البته نه خلاصه کتاب یا روایت و بازخوانی صوتی اون بلکه ورود به فضا و دنیاهای مرتبط به کتاب. چه کتاب را خوانده باشید و چه نخوانده باشید, اطلاعاتی در هر اپیزود هست که به صورت مستقل شنیدنی هستن.",14,https://open.spotify.com/show/7IpoJjqT7o0CnMCb6UV3Zo
59,کاتبک | پادکست تخصصی فوتبال اروپا,کاتبک| پادکست تخصصی فوتبال اروپا,پادکست کات بک هر هفته به بررسی فوتبال اروپا در لیگ‌های معتبر می‌پردازد,78,https://open.spotify.com/show/6pqiu0ZGcPxuSndzbYImM0
60,Mind Master پادکست,Sara,"مایند مستر یه پادکست فارسیه که توش جنبه‌های مختلف روان آدمیزادو با هم بررسی میکنیم. فصل اول این پادکست به شخصیت‌شناسی اختصاص داره و مطالبی که بررسی میکنیم از کتاب: Personality Psychology: Domains of Knowledge about Human Nature by Larsen, Buss, King ,& Ensley (1st Cdn Ed., 2017) گرفته شده؛ مگر اینکه مقاله یا کتاب دیگه‌ای رو با اسم نویسنده و سال انتشارش توی هر اپیزود رفرنس کنم. *از اپیزود دوم به بعد لینک این مقاله‌ها یا کتاب‌ها رو توی بخش توضیحات همون اپیزود میذارم. من سارا هستم و این پادکست رو با پشتیبانی دوستام تولید میکنم.",8,https://open.spotify.com/show/5G2T1M7mSbcvY3d1BpnEf8
61,Maillard speciality coffee podcast میلارد پادکست قهوه تخصصی,saeed abdinasab,"“Maillard speciality coffee podcast” details: Hi everybody this is MAILLARD PODCAST by SAEED ABDINASAB , good Day, speciality coffee podcast is podcast in 2 languages in the same time, you will have access to them on Tehran podcast, podcast iTunes, sound cloud and our website: www.maillardreaction.org also all the podcast host sites, پادکست آموزشی قهوه تخصصی میلارد رو میتونید از سایتهایی مثل تهران پادکست، پادکست آیتیونز و ساوند کلاود و همینطور سایت خود گروه: www.maillardreaction.org  بشنوید،مطالب بیان شده در پادکست حول محور قهوه تخصصی هستش",18,https://open.spotify.com/show/56s2F7hbBd5tPsSj7OSXuV
62,ThePeriscopePodcast/ پادکست پریسکوپ,Armin Montazeri,در پادکست پریسکوپ آنچه که درباره روابط بین‌کشورها و مناسبات بین‌المللی خوانده‌ام را به زبانی ساده برایتان روایت می‌کنم. به عنوان یک روزنامه‌نگار معتقدم که هر انسانی تا حدودی باید بداند در جهان چه می‌گذرد و مناسبات کشورها با یکدیگر از چه اصول ثابت و متغیری پیروی می‌کند. در پریسکوپ محدوده زمانی برای انتخاب موضوعات وجود ندارد. گاهی ممکن است موضوعات روز بررسی شوند و گاهی هم سری به تاریخ گذشته بزنم. این پادکست صرفا با علاقه شخصی خودم تولید می‌شود.   طراح کاور: سمانه خادمی,15,https://open.spotify.com/show/0BfICziWJDQE0XzX0C8ue8
63,Nokteh | پادکست نکته,PersianBMS,برنامه‌ نکته به زبان طنز -و نه شوخی و خنده- به موضوعات مختلف برنامه بولتن می‌پردازد.,40,https://open.spotify.com/show/2WsukmUkNvY52OFwUwylJt
64,پادکست چهارگاه,Saber Nazargahi & Abolhasan Kargosha,در این پادکست اطلاعاتی در رابطه با آموزش و موسیقی به شما خواهیم داد,41,https://open.spotify.com/show/2KrnloiJbVi7ufk1MXG3Qf
65,Rouznamechi | پادکست روزنامه چی,Rouznamechi,ما ناداستان‌های دل مطبوعات قدیمی را روایت می‌کنیم,52,https://open.spotify.com/show/2jWHrMXcdQBOK2f8w2EW6Z
66,پادکست زبانشناسی زبانکست,fereidoon hajilooe فریدون ,زبانشناسی,17,https://open.spotify.com/show/5tJ1yu8MBJVEG0tbOiwPKk
67,salam podcast | پادکست فارسی سلام,basalam,قصه‌ی محصولات و دست‌ساخته‌ها از زبان سازندگان,8,https://open.spotify.com/show/7c7QY4VEU3MjDT9QAQ96jo
68,Jeddi | پادکست جدی,Jeddi Podcasts,نزدیک‌تر از خواب، نزدیک‌تر از غم، نزدیک‌تر از برخورد. #جدی,17,https://open.spotify.com/show/35VtmmIqmmz5kR4hGcxfOp
69,پادکست فارسی پارانویا,Parsa Jafari,"""این پادکست مناسب افراد زیر ۱۸ سال نمی باشد"" #پارانویا نویسنده و راوی : پارسا جعفری موسیقی اختصاصی : پارسا جعفری  اینستاگرام :  https://www.instagram.com/parsa.jafari/ تلگرام :  https://t.me/parsastream ساندکلاد : https://soundcloud.com/parsa-jafari-330094926",10,https://open.spotify.com/show/5eQ01xhHF0Z7kmiZCIx2XU
70,پادکست فارسی واهمه | vaheme,Vahid Hasani,واهمه: واقعیت ترسناک‌تر از تخیل  در هر قسمت از این پادکست یک ماجرا یا واقعه ترسناک یا عجیب در دنیای واقعی را روایت می‌کنم,22,https://open.spotify.com/show/0k2QmYHVaMh7GOrc09G2vJ
